Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"単語","たんご","たん.ご","word, vocabulary.","これらの単語を一つずつ覚えなさい。","Learn these words, one by one.","簡単, 単位, 単純, 英語, 物語, 言語"
"惹かれる","ひかれる","ひ","to be charmed by, to be attracted to.","山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳した。","Ms. Yamada translated the fascinating fairy tale into plain Japanese.","惹句, 惹起, 注意を惹く"
"余計","よけい","よ.けい","extra, more.","余計な努力の結果、彼の血圧は通常以上に上がった。","The extra effort raised his blood pressure above normal.","余裕, 余分, 余所, 時計, 会計, 計画, 計算"
"伝承","でんしょう","でん.しょう","handing down (information), legend.","","","伝統, 宣伝, 承認, 承知, 了承, 承諾, 手伝う"
"読書","どくしょ","どく.しょ","reading (books), book report.","読書の暇がない。","I have no leisure for reading.","読者, 葉書, 書留, 句読点, 図書館, 下書き"
"拡大","かくだい","かく.だい","expansion, extension.","今年は事業が５０％拡大した。","The business has expanded by 50% this year.","拡張, 拡充, 軍拡, 拡散, 大学, 大勢, 大人, 大使館, 大好き"
"場所","ばしょ","ば.しょ","place, location.","このソファーは場所を取りすぎる。","This sofa takes too much room.","会場, 工場, 近所, 台所, 余所, 駐車場, 飛行場, 事務所"
"出雲","いずも","い.ずも","Izumo (former province located in the east of present-day Shimane Prefecture), Izumo Oyashiro-kyo (sect of Shinto).","","","出口, 提出, 出身, 暗雲, 雲雀, 青雲, 雲行き, 引き出し"
"荷物","にもつ","に.もつ","luggage, baggage.","彼は前もって荷物を送った。","He sent his luggage in advance.","重荷, 出荷, 建物, 動物, 物質, 果物, 荷造り"
"与える","あたえる","あた","to give (esp. to someone of lower status), to bestow.","人は天から与えられるのでなければ、なにもうけることはできません。","A man can receive only what is given to him from heaven.","給与, 与党, 贈与, 授与"
"新た","あらた","あら","new, fresh.","彼女は記憶を新たにするためにその写真を見た。","She looked at the picture to refresh her memory.","新聞, 新鮮, 新聞社"
"勢い","いきおい","いきお","force, vigor.","あらしの勢いが弱まった。","The storm abated.","姿勢, 大勢, 情勢, 勢力"
"異性","いせい","い.せい","the opposite sex, isomerism.","彼女は異性の前では非常に恥ずかしがる。","She feels very shy in the presence of the opposite sex.","異常, 異動, 特異, 女性, 男性, 性格, 性能"
"不安","ふあん","ふ.あん","anxiety, uneasiness.","その知らせで彼の不安が増した。","The news added to his anxiety.","不便, 不幸, 不正, 安心, 安全, 目安, 安定, 不自由"
"移動","いどう","い.どう","movement, transfer.","平和な丘や田園地帯から、通りがあり群衆がいる忙しい世界へと移動するのである。","They are moving from the peaceful hills and the countryside to the busy world of streets and crowds.","移転, 移民, 動物, 自動車"
"島根県","しまねけん","しま.ね.けん","Shimane Prefecture (Chūgoku area), Shimane Art Museum.","","","半島, 列島, 諸島, 広島, 屋根, 根拠, 根本, 羽根, 県庁, 県立, 県警, 県内"
"時代","じだい","じ.だい","period, epoch.","今や時代との競争になった。","It was now a race against time.","時間, 時々, 何時, 時計, 交代, 現代"
"失う","うしなう","うしな","to lose, to miss (a chance, opportunity).","ミスで財産を失った。","My mistake cost me my fortune.","失業, 失敗, 失望, 失格"
"気持ち","きもち","き.も","feeling, sensation.","なんかそれ、ブヨブヨしていて気持ち悪いね。","Oooh, gross! What is that stuff? It's all spongy.","元気, 気配, 湯気, 気質, 天気, 維持, 持参, 金持ち"
"図書館","としょかん","と.しょ.かん","library, chief librarian.","私たちの学校には立派な図書館があります。","We have a nice school library.","地図, 葉書, 書留, 旅館, 下書き, 大使館, 映画館, 美術館, 図々しい"
"動く","うごく","うご","to move, to stir.","私は家の中で何かが動くのを感じた。","I felt something move in the house.","動物, 自動車"
"薄れる","うすれる","うす","to fade, to become dim.","時がたつにつれ彼女の悲しみは薄れていった。","She felt less sad as time passed.","軽薄, 薄暗い"
"運行","うんこう","うん.こう","operation (of a bus or train service), service.","バスは２０分間隔で運行されている。","Buses are running at 20-minute intervals.","運転, 運動, 銀行, 行儀, 運転手"
"経路","けいろ","けい.ろ","course, route.","彼は１人で飛ぶことに慣れていた。そして彼は想像の中で何度もこの経路を飛んでいたのだ。","He was accustomed to flying alone, and he had flown this route in his imagination many times.","経済, 経営, 経験, 道路, 線路, 通路, 進路, 回路"
"運動","うんどう","うん.どう","exercise, physical training.","その運動をして若返った。","The exercise took years off me.","運転, 動物, 運転手, 自動車"
"不足","ふそく","ふ.そく","insufficiency, deficiency.","食糧が不足している。","Food has been in short supply.","不便, 不安, 不幸, 不正, 満足, 裸足, 不自由"
"駅舎","えきしゃ","えき.しゃ","station building.","","","駅前, 駅員, 駅弁, 駅長, 校舎, 田舎, 宿舎, 庁舎"
