Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"安易","あんい","あん.い","easy, simple.","彼は彼女を安易な餌で誘き寄せた。","He lured her with trinkets.","安心, 安全, 目安, 安定, 容易, 貿易, 容易い"
"以後","いご","い.ご","after this, from now on.","以後こんなことはいたしません。","I'll never do this again.","以下, 以内, 以上, 以外, 午後, 後者"
"意義","いぎ","い.ぎ","meaning, significance.","レイプ危機運動の内部においては、グリーンサイトによる異議表明は重要な意義を持っている。","Within the rape crisis movement, Greensite's dissent is significant.","意味, 意見, 注意, 用意, 意外, 講義, 義務, 主義, 正義"
"育児","いくじ","いく.じ","childcare, child-rearing.","ほんの一握りの男性しか育児休暇を取りたがらない。","Only a handful of men want to take childcare leave.","教育, 体育, 児童, 幼児, 乳児, 小児科"
"一定","いってい","いっ.てい","to fix, to settle.","金利自由化の方向性を一定するのはむずかしいことです。","It is difficult to peg the direction of interest deregulation.","一緒, 一番, 唯一, 予定, 勘定, 安定, 定規, 一昨日"
"一流","いちりゅう","いち.りゅう","first-class, first-rate.","こんな一流選手が相手では勝ち目がない。","We have no chance against those top players.","一緒, 一番, 唯一, 流行, 流石, 一昨日"
"延長","えんちょう","えん.ちょう","extension, elongation.","宿泊をもう一晩延長できますか。","Can I extend my stay one more night?","延期, 課長, 長閑, 校長, 長引く"
"演劇","えんげき","えん.げき","drama, theatre.","私はイギリス演劇を勉強しています。","I'm studying the English drama.","演技, 演説, 講演, 演奏, 劇場, 悲劇, 喜劇"
"往復","おうふく","おう.ふく","making a round trip, going and returning.","往復ですか、片道ですか。","Round trip or one-way?","往生, 往来, 往年, 復習, 復活, 回復, 復讐, 立ち往生"
"応援","おうえん","おう.えん","aid, assistance.","何事が起ころうとも、君を応援するよ。","I will stand by you whatever happens.","反応, 一応, 援助, 救援, 支援, 後援, 相応しい"
"温泉","おんせん","おん.せん","hot spring, onsen.","温泉はあなたに効くでしょう。","The hot spring will do you good.","温度, 気温, 体温, 温暖, 源泉, 泉水"
"架空","かくう","か.くう","fictitious, imaginary.","あなたは本当に幽霊を見たのではない。それは架空のものでしかなかったのだ。","You didn't really see a ghost―it was only imaginary.","担架, 架橋, 高架, 空気, 十字架"
"火山","かざん","か.ざん","volcano, volcanic ash.","その火山は溶岩を流し出した。","The volcano poured molten rock.","花火, 火傷, 火事, 登山, 鉱山, 火曜日, 山登り"
"過剰","かじょう","か.じょう","excess, surplus.","安い輸入品で市場が供給過剰になるだろう。","Cheap imports will glut the market.","過去, 通過, 余剰, 剰余金, 通り過ぎる"
"過程","かてい","か.てい","process, course.","その過程を彼に説明した。","I explained the process to him.","過去, 通過, 程度, 日程, 課程, 方程式, 通り過ぎる"
