Question,Answer,Furigana,Meaning,Example,Translation
"単語","たんご","たん.ご","word, vocabulary","これらの単語を一つずつ覚えなさい。","Learn these words, one by one."
"惹かれる","ひかれる","ひ","to be charmed by, to be attracted to","山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳した。","Ms. Yamada translated the fascinating fairy tale into plain Japanese."
"余計","よけい","よ.けい","extra, more","余計な努力の結果、彼の血圧は通常以上に上がった。","The extra effort raised his blood pressure above normal."
"伝承","でんしょう","でん.しょう","handing down (information), legend","",""
"読書","どくしょ","どく.しょ","reading (books)","読書の暇がない。","I have no leisure for reading."
"拡大","かくだい","かく.だい","expansion, extension","今年は事業が５０％拡大した。","The business has expanded by 50% this year."
"場所","ばしょ","ば.しょ","place, location","このソファーは場所を取りすぎる。","This sofa takes too much room."
"出雲","いずも","い.ずも","Izumo (former province located in the east of present-day Shimane Prefecture)","",""
"荷物","にもつ","に.もつ","luggage, baggage","彼は前もって荷物を送った。","He sent his luggage in advance."
"与える","あたえる","あた","to give (esp. to someone of lower status), to bestow","人は天から与えられるのでなければ、なにもうけることはできません。","A man can receive only what is given to him from heaven."
"新た","あらた","あら","new, fresh","彼女は記憶を新たにするためにその写真を見た。","She looked at the picture to refresh her memory."
"勢い","いきおい","いきお","force, vigor","あらしの勢いが弱まった。","The storm abated."
"異性","いせい","い.せい","the opposite sex, isomerism","彼女は異性の前では非常に恥ずかしがる。","She feels very shy in the presence of the opposite sex."
"不安","ふあん","ふ.あん","anxiety, uneasiness","その知らせで彼の不安が増した。","The news added to his anxiety."
"移動","いどう","い.どう","movement, transfer","平和な丘や田園地帯から、通りがあり群衆がいる忙しい世界へと移動するのである。","They are moving from the peaceful hills and the countryside to the busy world of streets and crowds."
"島根県","しまねけん","しま.ね.けん","Shimane Prefecture (Chūgoku area)","",""
"時代","じだい","じ.だい","period, epoch","今や時代との競争になった。","It was now a race against time."
"失う","うしなう","うしな","to lose, to miss (a chance, opportunity)","ミスで財産を失った。","My mistake cost me my fortune."
"気持ち","きもち","き.も","feeling, sensation","",""
"図書館","としょかん","と.しょ.かん","library","私たちの学校には立派な図書館があります。","We have a nice school library."
"動く","うごく","うご","to move, to stir","私は家の中で何かが動くのを感じた。","I felt something move in the house."
"薄れる","うすれる","うす","to fade, to become dim","時がたつにつれ彼女の悲しみは薄れていった。","She felt less sad as time passed."
"運行","うんこう","うん.こう","operation (of a bus or train service), service","バスは２０分間隔で運行されている。","Buses are running at 20-minute intervals."
"経路","けいろ","けい.ろ","course, route","彼は１人で飛ぶことに慣れていた。そして彼は想像の中で何度もこの経路を飛んでいたのだ。","He was accustomed to flying alone, and he had flown this route in his imagination many times."
"運動","うんどう","うん.どう","exercise, physical training","その運動をして若返った。","The exercise took years off me."
"不足","ふそく","ふ.そく","insufficiency, deficiency","食糧が不足している。","Food has been in short supply."
"駅舎","えきしゃ","えき.しゃ","station building","",""
"円柱","えんちゅう","えん.ちゅう","column, shaft","ベイスギを材料に巨大でグロテスクな、しかし美しい円柱を作った。","They made huge, grotesque, yet beautiful poles of red cedar."
"現在","げんざい","げん.ざい","the present, present time","私は現在の地位に満足している。","I am content with my current position."
"形状","けいじょう","けい.じょう","shape, form","",""
"於て","おいて","おい","at (a time or place), in","",""
"措いて","おいて","お","except, no other","",""
"老いる","おいる","お","to age, to grow old","かわいそうな事にその老いた女性はまたもバッグを盗まれた。","The poor old woman had her bag stolen again."
"置く","おく","お","to put, to place","それをテーブルの上に置きなさい。","Lay it on the table."
"擱く","おく","お","to stop (doing something), to cease","",""
"甥","おい","おい","nephew","私のおいは卵に対してアレルギー体質だ。","My nephew is allergic to eggs."
"追手","おいて","おい.て","pursuer, pursuing party","",""
"追い風","おいかぜ","お..かぜ","tailwind, fair wind","追い風の時に帆を上げよ。","Hoist your sail when the wind is fair."
"降りる","おりる","お","to descend (e.g. a mountain), to go down","あのプロのスキーヤーは離れ業をしながら山をおりるのが好きだった。","The professional skier liked to 'hot-dog' down the mountain."
"お別れ","おわかれ",".わか","parting, farewell","お別れを言いにちょっと立ち寄ってみました。","I just dropped in to say goodbye."
"開始","かいし","かい.し","start, commencement","何時に搭乗開始ですか。","What time does boarding begin?"
"改築","かいちく","かい.ちく","structural alteration (of a building), reconstruction","わが家は全面的に改築された。","Our house was entirely rebuilt."
"実家","じっか","じっ.か","(one's parents') home","私の両親は二人とも今、実家にいます。","Both my parents are at home now."
"築","ちく","ちく","... years since construction, ... years old (of a building)","",""
"快適","かいてき","かい.てき","pleasant, agreeable","これはたいそう快適な暖炉ですね。","This is a very nice fireplace."
"部屋","へや","へ.や","room, chamber","マユコは部屋に入った。","Mayuko entered the room."
"部","ぶ","ぶ","department (in an organization, company, etc.), division","新サービスの料金設定はマーケティング部が行う。","The marketing department is responsible for pricing new service."
"開封","かいふう","かい.ふう","opening (a letter, parcel, etc.), breaking the seal","彼はその手紙を開封しないで送り返した。","He sent the letter back unopened."
"解放","かいほう","かい.ほう","release, unleashing","人質は解放されるだろう。","The hostages will be released."
"確認","かくにん","かく.にん","confirmation, verification","予約は確認されています。","I have a confirmed reservation."
"掛ける","かける","か","to hang up (e.g. a coat, a picture on the wall), to let hang","コートをハンガーに掛けておきなさい。","Put your coat on a hanger."
"微か","かすか","かす","faint, dim","すぐそばでかすかな音がした。","I heard a faint sound nearby."
"声","こえ","こえ","voice, singing (of a bird)","あなたの声が聞けてうれしいわ。","I am happy to hear your voice."
"音声","おんせい","おん.せい","voice, speech","テレビの音声を低くしてもいい？","Do you mind if I turn down the TV?"
"片付け","かたづけ","かた.づ","tidying up, finishing","まもなく例のウエーターが皿を片付けに戻ってきた。","Soon the same waiter came back to pick up the dishes."
"可能","かのう","か.のう","possible, potential","男の子へのしつけは可能である。","Boys can be trained to behave."
"不可能","ふかのう","ふ.か.のう","impossible","回復はほとんど不可能だった。","Recovery was almost impossible."
"壁","かべ","かべ","wall, partition","男はビンを壁に叩きつけた。","The man dashed the bottle against the wall."
"白い","しろい","しろ","white, white clothes","ケンは自転車を白く塗りました。","Ken painted his bicycle white."
"可憐","かれん","か.れん","sweet (e.g. young girls, flowers blooming), touchingly lovely","",""
"少女","しょうじょ","しょう.じょ","girl (usu. between 7 and 17), young lady","あのかわいい少女は私の妹です。","That pretty girl is my sister."
"為替","かわせ","かわせ","money order, draft","この為替を作るのに銀行の手数料が５０ドルかかった。","Arranging this money order cost $50 in bank fees and commissions."
"為","ため","ため","good, advantage","あなたのためなら喜んでどんなことでもします。","I am ready to do anything for you."
"握手","あくしゅ","あく.しゅ","handshake, reconciliation","彼は友人と握手した。","He shook hands with his friend."
"観光","かんこう","かん.こう","sightseeing, tourism","観光ガイドは雇えますか。","Is there a tour guide available?"
"漫画","まんが","まん.が","cartoon, comic","僕の趣味は漫画を読む事です。","My hobby is reading comics."
"画家","がか","が.か","painter, artist","その画家は、いわば永遠の少年だ。","The artist is eternally a boy."
"記憶","きおく","き.おく","memory, recollection","私はその日の記憶を呼び覚まそうとした。","I tried to call on my memories of that day."
"夏","なつ","なつ","summer, Xia dynasty (of China; ca. 2070-1600 BCE; possibly mythological)","この夏最高の暑さだ。","It is the hottest this summer."
"気温","きおん","き.おん","(air) temperature","気温が下がると関節が痛むんだ。","My joints ache when it gets cold."
"高い","たかい","たか","high, tall","銀行はリスクの高い顧客へのローンには高い金利をつける。","Banks charge higher interest on loans to risky customers."
"企画","きかく","き.かく","planning, plan","私はあなたの企画に参加する。","I take part in your enterprise."
"進める","すすめる","すす","to advance, to move forward","ナポレオンは軍隊をロシアに進めた。","Napoleon marched his armies into Russia."
"気候","きこう","き.こう","climate","その国は気候が温和だ。","That country has a mild climate."
"暖かい","あたたかい","あたた","warm, mild","だんだん暖かくなります。","It will get warmer and warmer."
"旧","きゅう","きゅう","old, former","官僚は旧法規の改正に関して、成り行きを見守っています。","Bureaucrats are testing the waters over revising old regulations."
"友","とも","とも","friend, companion","まさかの時の友こそ真の友。","A friend in need is a friend indeed."
"教会","きょうかい","きょう.かい","church, congregation","その教会は１１７３年までさかのぼる。","The church dates back to 1173."
"空港","くうこう","くう.こう","airport","どの空港から出発しますか。","Which airport do I leave from?"
"羽田","はた","は.た","Hata, Hatane","",""
"暮らす","くらす","く","to live, to get along","１日１ドルでアメリカで暮らしていけると思いますか。","Do you think you can live on a dollar a day in America?"
"群","ぐん","ぐん","group, bunch","牧羊犬が、羊の群を牧場へ連れていく。","A sheep dog drives the flock to the pasture."
"子供","こども","こ.ども","child, children","あなたには何人子供がいますか。","How many children do you have?"
"消印","けしいん","けし.いん","postmark, (postal) cancellation mark","",""
"景色","けしき","け.しき","scenery, scene","その景色は言葉では表現できないほどだった。","The scenery was beyond description."
"趣","おもむき","おもむき","meaning, tenor","それは、いくぶんナンセンスな趣きの楽しさがあった。","It was a delightful bit of nonsense."
"決定","けってい","けっ.てい","decision, determination","われわれは最終的決定を行った。","We've made a final decision."
"秋田","あきた","あき.た","Akita (city, prefecture)","",""
